offset,latitude,longitude,url,title
679,42.410855,-71.448351,http://clui.org/ludb/site/fema-new-england-headquarters,FEMA New England Headquarters
680,42.469984,-73.176965,http://clui.org/ludb/site/crane-company,Crane Company
681,42.764339,-71.124924,http://clui.org/ludb/site/haverhill-waste-energy-facility,Haverhill Waste to Energy Facility
682,41.657877,-70.522184,http://clui.org/ludb/site/otis-air-base,Otis Air Base
683,42.458618,-71.263573,http://clui.org/ludb/site/lincoln-laboratory,Lincoln Laboratory
684,42.238922,-70.972412,http://clui.org/ludb/site/fore-river-shipyard,Fore River Shipyard
685,42.19389,-72.534721,http://clui.org/ludb/site/westover-air-reserve-base,Westover Air Reserve Base
686,42.583919,-71.26462,http://clui.org/ludb/site/iron-horse-park,Iron Horse Park
687,42.319122,-71.2322,http://clui.org/ludb/site/former-egg-headquarters,Former EG&amp;G Headquarters
688,41.621507,-70.911427,http://clui.org/ludb/site/new-bedford-hurricane-barrier,New Bedford Hurricane Barrier
689,42.452216,-70.97213,http://clui.org/ludb/site/river-works-plant,River Works Plant
