County, FIPS,AgeAdjustedRateP100K
"Forsyth County, North Carolina(6,10)",37067,487.4
"Jefferson Parish, Louisiana(7,9)",22051,487.4
"Mississippi County, Missouri(6,10)",29133,487.3
"Winn Parish, Louisiana(7,9)",22127,487.3
"McDowell County, North Carolina(6,10)",37111,487.2
"Upson County, Georgia(7,9)",13293,487.2
"Jasper County, Georgia(7)",13159,487.1
"St. Louis County, Missouri(6,10)",29189,487.1
"Washington County, Maine(6,10)",23029,487.1
"Tangipahoa Parish, Louisiana(7,9)",22105,487.1
"Brown County, Ohio(6,10)",39015,487.1
"Yates County, New York(6,10)",36123,487
"Loudon County, Tennessee(6,10)",47105,487
"Dubuque County, Iowa(7,8)",19061,487
"Carteret County, North Carolina(6,10)",37031,486.9
"Mercer County, West Virginia(6,10)",54055,486.8
"Jackson County, Mississippi(6,10)",28059,486.7
"Itawamba County, Mississippi(6,10)",28057,486.6
"Barbour County, Alabama(6,10)",1005,486.6
"Grant Parish, Louisiana(7,9)",22043,486.4
"Bibb County, Georgia(7,9)",13021,486.4
"Stewart County, Georgia(7,9)",13259,486.2
"Grenada County, Mississippi(6,10)",28043,486.2
"Wayne County, Georgia(7,9)",13305,486.1
"Yoakum County, Texas(6,10)",48501,486.1
"Marion County, Iowa(7,8)",19125,486
"Schoharie County, New York(6,10)",36095,485.7
"Cuyahoga County, Ohio(6,10)",39035,485.6
"Crawford County, Missouri(6,10)",29055,485.6
"Berkeley County, South Carolina(6,10)",45015,485.5
"Hartford County, Connecticut(7,8)",9003,485.5
"Knox County, Tennessee(6,10)",47093,485.5
"St. Lawrence County, New York(6,10)",36089,485.4
"Columbia County, Wisconsin(6,10)",55021,485.4
"Hall County, Nebraska(6,10)",31079,485.4
"Lamar County, Alabama(6,10)",1075,485.4
"Cochran County, Texas(6,10)",48079,485.3
"Bienville Parish, Louisiana(7,9)",22013,485.3
"Lake County, Indiana(6,10)",18089,485.3
"Webster County, West Virginia(6,10)",54101,485.2
"Mason County, Washington(7,8)",53045,485.2
"Wright County, Missouri(6,10)",29229,485.2
"Barrow County, Georgia(7,9)",13013,485.1
"Ohio County, West Virginia(6,10)",54069,485
"Fall River County, South Dakota(6,10)",46047,485
"Kent County, Rhode Island(6,10)",44003,485
"Smith County, Tennessee(6,10)",47159,485
