County, FIPS,rate
"Clay County, Missouri(6,10)",29047,132.6
"Austin County, Texas(6,10)",48015,132.6
"Kootenai County, Idaho(6,10)",16055,132.6
"Pender County, North Carolina(6,10)",37141,132.6
"Collin County, Texas(6,10)",48085,132.6
"Berrien County, Michigan(6,10)",26021,132.5 #  
"Shelby County, Indiana(6,10)",18145,132.5
"Catawba County, North Carolina(6,10)",37035,132.3
"Humphreys County, Tennessee(6,10)",47085,132.3
"St. John the Baptist Parish, Louisiana(7,9)",22095,132.2
"Nassau County, Florida(6,10)",12089,132.2
"Perry County, Missouri(6,10)",29157,132.1
"Spartanburg County, South Carolina(6,10)",45083,132.1
"Richmond County, Georgia(7,9)",13245,132.1
"Chippewa County, Wisconsin(6,10)",55017,132.1
"Bolivar County, Mississippi(6,10)",28011,132
"Alpena County, Michigan(6,10)",26007,132 #  
"Franklin County, Nebraska(6,10)",31061,131.9
"Palo Pinto County, Texas(6,10)",48363,131.9
"Rosebud County, Montana(6,10)",30087,131.8
"Monroe County, Missouri(6,10)",29137,131.8
"Pulaski County, Arkansas(6,10)",5119,131.8
"Franklin County, Ohio(6,10)",39049,131.8
"Benton County, Oregon(6,10)",41003,131.8
"Beaufort County, North Carolina(6,10)",37013,131.8
"Florence County, South Carolina(6,10)",45041,131.7
"Warren County, Ohio(6,10)",39165,131.7
"Kings County, New York(6,10)",36047,131.7
"Kenai Peninsula Borough, Alaska(6,10)",2122,131.7
"Tipton County, Indiana(6,10)",18159,131.7
"Fulton County, New York(6,10)",36035,131.7
"Cabarrus County, North Carolina(6,10)",37025,131.7
"Ada County, Idaho(6,10)",16001,131.6
"Outagamie County, Wisconsin(6,10)",55087,131.6
"Marion County, Missouri(6,10)",29127,131.6
"Concordia Parish, Louisiana(7,9)",22029,131.6
"Montgomery County, Missouri(6,10)",29139,131.6
"Sanpete County, Utah(7,8)",49039,131.6
"Randolph County, North Carolina(6,10)",37151,131.5
"Day County, South Dakota(6,10)",46037,131.5
"Rockingham County, North Carolina(6,10)",37157,131.5
"Anderson County, South Carolina(6,10)",45007,131.5
"Washington County, Wisconsin(6,10)",55131,131.4
"Jefferson Parish, Louisiana(7,9)",22051,131.4
"Cherokee County, North Carolina(6,10)",37039,131.4
"Bexar County, Texas(6,10)",48029,131.3
"Dawson County, Montana(6,10)",30021,131.3
"Chaffee County, Colorado(6,10)",8015,131.2
"Dewey County, Oklahoma(6,10)",40043,131.2
"Charleston County, South Carolina(6,10)",45019,131.2
"Larimer County, Colorado(6,10)",8069,131.2
"Washington County, Maryland(6,10)",24043,131.2
"Avery County, North Carolina(6,10)",37011,131.1
"Yates County, New York(6,10)",36123,131.1
"Barbour County, Alabama(6,10)",1005,131.1
"Kitsap County, Washington(7,8)",53035,131.1
"Shelby County, Iowa(7,8)",19165,131.1
"Garfield County, Colorado(6,10)",8045,131
"Columbia County, Oregon(6,10)",41009,131
"Morrow County, Oregon(6,10)",41049,131
"Perry County, Tennessee(6,10)",47135,131
"Miami-Dade County, Florida(6,10)",12086,130.9
"Bay County, Florida(6,10)",12005,130.8
"Cheatham County, Tennessee(6,10)",47021,130.8
"Crawford County, Wisconsin(6,10)",55023,130.7
"Pike County, Alabama(6,10)",1109,130.7
"Greenwood County, South Carolina(6,10)",45047,130.6
"Wasatch County, Utah(7,8)",49051,130.6
"Brooke County, West Virginia(6,10)",54009,130.6
"Penobscot County, Maine(6,10)",23019,130.6
"Osceola County, Iowa(7,8)",19143,130.6
"Butte County, South Dakota(6,10)",46019,130.5
"St. Mary Parish, Louisiana(7,9)",22101,130.5
"Hood River County, Oregon(6,10)",41027,130.5
"Gooding County, Idaho(6,10)",16047,130.5
"Leake County, Mississippi(6,10)",28079,130.5
"Ohio County, Indiana(6,10)",18115,130.4
"Jackson County, Indiana(6,10)",18071,130.4
"Travis County, Texas(6,10)",48453,130.4
"Anchorage Borough, Alaska(6,10)",2020,130.4
"East Baton Rouge Parish, Louisiana(7,9)",22033,130.3
"Graham County, North Carolina(6,10)",37075,130.3
"Pocahontas County, Iowa(7,8)",19151,130.3
"Monongalia County, West Virginia(6,10)",54061,130.3
"Martin County, Florida(6,10)",12085,130.3
"Montgomery County, Texas(6,10)",48339,130.2
"Washington County, Iowa(7,8)",19183,130.2
"Walker County, Texas(6,10)",48471,130.2
"Ben Hill County, Georgia(7,9)",13017,130.2
"Baca County, Colorado(6,10)",8009,130.1
"Rockdale County, Georgia(7,9)",13247,130.1
"Stewart County, Tennessee(6,10)",47161,130
"Wicomico County, Maryland(6,10)",24045,130
"Oneida County, Wisconsin(6,10)",55085,130
"Jasper County, Georgia(7)",13159,129.9
"Iowa County, Iowa(7,8)",19095,129.9
"Tuolumne County, California(7,9)",6109,129.9
"Door County, Wisconsin(6,10)",55029,129.9
"Washington County, Tennessee(6,10)",47179,129.9
"Sumter County, South Carolina(6,10)",45085,129.9
"Marshall County, Tennessee(6,10)",47117,129.9
"Jones County, Iowa(7,8)",19105,129.8
"Haskell County, Oklahoma(6,10)",40061,129.8
"St. Johns County, Florida(6,10)",12109,129.7
"Windham County, Connecticut(7,8)",9015,129.7
"Jefferson County, Colorado(6,10)",8059,129.7
"Sharp County, Arkansas(6,10)",5135,129.7
"Bertie County, North Carolina(6,10)",37015,129.6
"Cape Girardeau County, Missouri(6,10)",29031,129.6
"Teton County, Wyoming(6,10)",56039,129.6
"Huntington County, Indiana(6,10)",18069,129.6
"Kennebec County, Maine(6,10)",23011,129.5
